batch_num,date_userID_created,ssn,gender,first_name,last_name,lic_num,birthdate,points_strike,dl_class
37,2018-06-09,574-74-5123,male,Lonzo,Keeling,KHCXB6YY,19820817,1,C
38,2018-06-13,649-10-4712,female,Estell,Huel,YZXQN8YA,19810721,5,A
39,2018-06-19,406-78-0461,female,Laura,Walker,E5DZZESW,19860514,9,A
40,2018-06-26,493-01-2648,male,Christian,Nicolas,ZPJBTWCQ,19710412,4,A
41,2018-06-28,113-80-4768,female,Gia,Johnston,9NUARDMY,19870327,3,B
42,2018-07-08,579-16-6630,male,Jeff,Watsica,43LS5XLX,19701116,14,B
43,2018-07-16,503-68-1628,female,Maggie,Collier,RS5729L8,19850530,6,B
44,2018-07-21,283-07-6267,female,Karlee,Reichel,B7CWQUC5,19980719,4,B
45,2018-08-09,221-80-3391,female,Krystel,Gleason,49J43XLK,19960916,14,C
46,2018-09-02,517-21-1361,male,Prince,Bayer,3ZHDBAG5,19791013,17,A
47,2018-09-07,454-11-7242,male,Evans,Wisozk,RPPYJRFU,19770208,13,A
48,2018-09-09,214-03-9691,male,Kim,Will,DHUFLGM5,19950503,15,C
49,2018-09-16,501-64-8252,male,Coy,Hoppe,T89CJSZC,19700102,1,C
50,2018-09-25,002-24-9999,female,Isabella,Mayer,XMEPQ8CZ,19831001,4,B
51,2018-01-31,310-09-1344,female,Bianka,Rempel,QEQTMDDZ,19781108,6,A
52,2018-03-01,515-27-3698,male,Kevon,Rowe,T3AFFQJK,19971014,10,A
53,2018-04-03,239-12-9888,male,Juwan,Kuphal,NUQWDLRV,19810820,15,A
54,2018-04-06,575-66-4285,female,Jazmyne,Von,UXYE89GS,19940712,12,A
55,2018-04-08,046-32-8881,male,Madyson,Becker,HGLFWT4L,19730529,3,B
56,2018-04-19,008-66-5488,male,Estevan,Bosco,65XG5XP8,19981018,7,B
57,2018-04-24,574-74-5123,male,Lonzo,Keeling,NVACNESY,19820817,9,C
58,2018-05-06,649-10-4712,female,Estell,Huel,DVGHTCWQ,19810721,14,A
59,2018-05-08,406-78-0461,female,Laura,Walker,R8JF9ZWK,19860514,21,A
60,2018-05-16,493-01-2648,male,Christian,Nicolas,28PKM5P4,19710412,2,A
61,2018-05-26,496-98-8880,male,August,Adams,L7N3V9D5,19891130,0,B
62,2018-06-07,444-40-7528,male,Hardy,Fay,A3S4R587,19961029,1,C
63,2018-06-09,511-22-8739,female,Berneice,Adams,NUWFPTHN,19800821,5,A
64,2018-06-30,678-12-5973,female,Lempi,Langworth,PR8W7FDS,19870613,9,A
65,2018-07-03,505-05-4800,male,Cooper,Kuhic,6LFGKD9V,19940114,4,A
66,2018-07-06,287-06-0196,female,Lyda,Roberts,QNSY8VD5,19760312,3,B
67,2018-07-17,004-54-3884,female,Ericka,Rolfson,PM36C76V,19810510,14,B
68,2018-08-08,408-35-7281,male,Dylan,Raynor,JZRK96FX,19971227,6,B
69,2018-08-16,660-20-7913,female,Luisa,Zulauf,SQV2RD5Q,19970728,4,B
70,2018-08-25,440-72-5639,male,Kamryn,Cormier,G7DR9PRD,19780403,14,C
71,2018-08-26,523-70-3175,male,Jillian,Turcotte,PBRYV86P,19770528,17,A
72,2018-09-01,216-57-3376,female,Alexandrea,Durgan,UKEK6PAH,19890117,13,A
73,2018-09-09,530-52-6428,female,Agnes,Wisozk,P5N4B6WE,19920728,15,C
74,2018-09-14,377-50-1154,female,Yasmine,Lesch,9PD3JSBV,19890210,1,C
75,2018-09-17,439-48-5225,female,Sadie,Gibson,M5BXZ7U2,19701010,4,B
76,2018-01-31,524-87-9293,female,Gwendolyn,Hegmann,3M2J2KZQ,19900323,6,A
77,2018-02-05,640-64-6747,male,Adan,Ritchie,6P2UR9D9,19820519,10,A
78,2018-02-10,004-62-8091,female,Marietta,Rosenbaum,2F5GSWHS,19790921,15,A
79,2018-02-15,208-82-9932,female,Andreanne,Green,B6TZ4N7K,19981221,12,A
80,2018-02-18,540-77-0429,female,Muriel,Cassin,5NH3DQPY,19720219,3,B
81,2018-02-21,003-06-2139,female,Annabelle,Zboncak,XV347C27,19941028,7,B
82,2018-03-16,419-40-5520,male,Jesse,Runolfsson,4C56ZKFT,19751220,9,C
83,2018-04-08,036-74-3975,female,Evangeline,Runolfsson,NPRGASSC,19710409,14,A
84,2018-04-16,485-70-6776,male,Agustin,Bashirian,TYSNLPHY,19780106,21,A
85,2018-04-21,579-90-0876,female,Maybelle,Zemlak,SHGGYFS7,19830611,2,A
86,2018-05-24,406-49-9453,female,Sincere,Williamson,2Q8TR9KP,19750531,0,B
87,2018-06-01,530-58-7485,female,Aisha,Hintz,788FNS7K,19820719,1,C
88,2018-06-04,751-07-4384,male,Stevie,Cormier,BLX5UVM2,19800513,5,A
89,2018-06-05,594-49-7532,female,Camilla,Blick,AHFPYGFK,19930527,9,A
90,2018-06-20,317-44-7089,female,Ara,Schaefer,RFGGDU5C,19950606,4,A
91,2018-06-23,694-05-4358,female,Lysanne,Armstrong,6PCGRKU4,19830814,3,B
92,2018-06-25,307-74-6356,male,Geovany,Champlin,AGFFU7CN,19840507,14,B
93,2018-07-09,219-15-2576,female,Madonna,Murphy,XXV5NCMP,19840427,6,B
94,2018-07-11,375-90-4942,female,Simone,Zboncak,KCN5QJXB,19840313,4,B
95,2018-07-25,509-88-4376,male,Blake,Hauck,VYGTVLHS,19870526,14,C
96,2018-07-26,254-85-1695,male,Dock,Lindgren,EVY5PLYD,19970619,17,A
97,2018-08-05,501-31-3020,female,Rowena,Leannon,LY6EVPCS,19961002,13,A
98,2018-08-14,322-01-5023,male,Chandler,Prohaska,QMFYTNPQ,19840812,15,C
99,2018-09-24,517-33-2129,male,Wilson,Witting,9RXXHVJ7,19770918,1,C
100,2018-09-26,513-88-0399,female,Connie,Breitenberg,L4FUGKK9,19891013,4,B
